feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
Fpz_lowgamma_spectral_diff,-0.018426232296801764,0.6529331276533518,[-0.1   0.06],-0.026978588058787237,0.5102330097308684,[-0.11  0.05],600.0
Fz_delta_relative_power,0.06968970204807595,0.08862431306373802,[-0.01  0.15],0.07906490955698846,0.05330559894401665,[-0.    0.16],600.0
Fz_delta_spectral_entropy,0.06745982250269403,0.0993339409177863,[-0.01  0.15],0.08453832026234166,0.03876444583621454,[0.   0.16],600.0
Fz_delta_spectral_flatness,0.0685866868427313,0.09379974157062737,[-0.01  0.15],0.08484879533917919,0.03805181533452649,[0.   0.16],600.0
Fz_delta_spectral_edge_frequency,,,,,,,600.0
Fz_delta_spectral_diff,0.04540338642344119,0.2676266010719068,[-0.03  0.13],0.07412154250929154,0.07009895640532746,[-0.01  0.15],600.0
Fz_theta_relative_power,-0.07202494780089883,0.07842444970819307,[-0.15  0.01],-0.053302086968375705,0.19303623425574779,[-0.13  0.03],600.0
Fz_theta_spectral_entropy,-0.10319742656518194,0.01156790566883453,[-0.18 -0.02],-0.07003452708273518,0.08705431307349412,[-0.15  0.01],600.0
Fz_theta_spectral_flatness,-0.10287204863807758,0.011834054751069117,[-0.18 -0.02],-0.06936105027327283,0.09014178386354696,[-0.15  0.01],600.0
Fz_theta_spectral_edge_frequency,,,,,,,600.0
Fz_theta_spectral_diff,0.014473988136984108,0.7239194689447495,[-0.07  0.09],0.015983864689846715,0.6964795063582422,[-0.06  0.1 ],600.0
Fz_lowalpha_relative_power,-0.012739712079229918,0.7558780183760209,[-0.09  0.07],0.005217718431722688,0.8986806519451626,[-0.07  0.09],600.0
Fz_lowalpha_spectral_entropy,-0.01786664623797922,0.6628132917860989,[-0.1   0.06],0.0031052760273315924,0.9395958471938999,[-0.08  0.08],600.0
Fz_lowalpha_spectral_flatness,-0.01775760795105162,0.6647453934963732,[-0.1   0.06],0.004164101363183509,0.9190611002173225,[-0.08  0.08],600.0
Fz_lowalpha_spectral_edge_frequency,,,,,,,600.0
Fz_lowalpha_spectral_diff,-0.003932897010294951,0.9235409383749593,[-0.08  0.08],-0.05235864509557354,0.20104553461669764,[-0.13  0.03],600.0
Fz_highalpha_relative_power,0.04615935367061851,0.25973333401871335,[-0.03  0.13],0.049334700473127664,0.2283415156038848,[-0.03  0.13],600.0
Fz_highalpha_spectral_entropy,-0.11646586643876923,0.004347075402979965,[-0.19 -0.04],-0.02739030646164292,0.5037968689742742,[-0.11  0.05],600.0
