feature,pearson,pearson p-value,pearson CI95%,spearman,spearman p-value,spearman CI95%,n
C3_lowgamma_relative_power,-0.26956778091003153,0.015602396065737205,[-0.46 -0.05],-0.24306271786529116,0.029818249874912498,[-0.44 -0.02],82.0
C3_lowgamma_spectral_entropy,-0.163685663345604,0.1468321576932717,[-0.37  0.06],-0.27767244762064086,0.01264057542878035,[-0.47 -0.06],82.0
C3_lowgamma_spectral_flatness,-0.15597334361153112,0.16709961763213405,[-0.36  0.07],-0.27212824042932915,0.014607896964579007,[-0.46 -0.06],82.0
C3_lowgamma_spectral_edge_frequency,,,,,,,82.0
C3_lowgamma_spectral_diff,0.10387070502211067,0.35919011206035856,[-0.12  0.32],0.1053890977998246,0.3521704615639162,[-0.12  0.32],82.0
C4_delta_relative_power,0.2581681033318185,0.0207706176698632,[0.04 0.45],0.28740474400269145,0.009739233939264777,[0.07 0.48],82.0
C4_delta_spectral_entropy,0.273080135711689,0.014252405856120504,[0.06 0.46],0.17859633725096155,0.11295597176780213,[-0.04  0.38],82.0
C4_delta_spectral_flatness,0.271258823182927,0.014939257737856827,[0.05 0.46],0.18143256474996722,0.1072581700735457,[-0.04  0.39],82.0
C4_delta_spectral_edge_frequency,,,,,,,82.0
C4_delta_spectral_diff,0.022799184063004036,0.8409028694607763,[-0.2   0.24],-0.07512433701708038,0.5077827613521552,[-0.29  0.15],82.0
C4_theta_relative_power,0.19054824816845667,0.09044743745455376,[-0.03  0.39],0.18368640627790828,0.10289162551511327,[-0.04  0.39],82.0
C4_theta_spectral_entropy,0.05148570914677686,0.6501487404642698,[-0.17  0.27],0.04925762503758227,0.6643587581555582,[-0.17  0.27],82.0
C4_theta_spectral_flatness,0.051809688943810904,0.6480926964089693,[-0.17  0.27],0.054687037186694036,0.629949264934905,[-0.17  0.27],82.0
C4_theta_spectral_edge_frequency,,,,,,,82.0
C4_theta_spectral_diff,-0.05274810524143015,0.6421521873170337,[-0.27  0.17],0.007350522205537638,0.948403947204133,[-0.21  0.23],82.0
C4_lowalpha_relative_power,0.17585200215546615,0.1186891305067314,[-0.05  0.38],0.17164667818425303,0.1279050873756292,[-0.05  0.38],82.0
C4_lowalpha_spectral_entropy,-0.035499932630906596,0.7545676373977968,[-0.25  0.19],0.04142312520037337,0.7152418709977593,[-0.18  0.26],82.0
C4_lowalpha_spectral_flatness,-0.03509948009551884,0.7572503202768092,[-0.25  0.19],0.04428900331858526,0.6964701086507951,[-0.18  0.26],82.0
C4_lowalpha_spectral_edge_frequency,,,,,,,82.0
C4_lowalpha_spectral_diff,0.12013824070836164,0.28846838665781405,[-0.1   0.33],0.059952800222170526,0.5973118233397835,[-0.16  0.28],82.0
C4_highalpha_relative_power,0.09680594236377067,0.3929719546435777,[-0.13  0.31],0.09078539232964816,0.4231981158672413,[-0.13  0.3 ],82.0
C4_highalpha_spectral_entropy,-0.03958681219980855,0.7273601186725849,[-0.26  0.18],0.025300625606895777,0.8237147099380177,[-0.2   0.24],82.0
C4_highalpha_spectral_flatness,-0.03489237093397025,0.7586388992989064,[-0.25  0.19],0.02782953924467303,0.8064216990027586,[-0.19  0.25],82.0
C4_highalpha_spectral_edge_frequency,,,,,,,82.0
C4_highalpha_spectral_diff,0.014642847297700228,0.897424729596233,[-0.21  0.23],0.036064380518520775,0.7507912609707063,[-0.19  0.25],82.0
C4_beta_relative_power,-0.06219077486138584,0.5836729804677827,[-0.28  0.16],-0.06658171783258084,0.5573353220681445,[-0.28  0.16],82.0
C4_beta_spectral_entropy,-0.025712836281982225,0.8208899985302907,[-0.24  0.2 ],-0.0627014124698938,0.580581064096966,[-0.28  0.16],82.0
C4_beta_spectral_flatness,-0.028798434412342533,0.7998203089907165,[-0.25  0.19],-0.05987799875302092,0.5977701286589362,[-0.28  0.16],82.0
C4_beta_spectral_edge_frequency,,,,,,,82.0
C4_beta_spectral_diff,0.1250351626139373,0.2691202591835017,[-0.1   0.34],0.11123742839548245,0.3259364093721313,[-0.11  0.32],82.0
C4_lowgamma_relative_power,-0.2191768584457936,0.050778683926959695,[-0.42  0.  ],-0.15208118002954818,0.17807844938023507,[-0.36  0.07],82.0
C4_lowgamma_spectral_entropy,-0.055980852998413023,0.6218609441596644,[-0.27  0.17],-0.08649900513104423,0.4455076929648343,[-0.3   0.14],82.0
C4_lowgamma_spectral_flatness,-0.053530002028634296,0.6372195720598279,[-0.27  0.17],-0.08412992076906513,0.45811474945191344,[-0.3   0.14],82.0
C4_lowgamma_spectral_edge_frequency,,,,,,,82.0
C4_lowgamma_spectral_diff,0.10982761972678079,0.3321434823123862,[-0.11  0.32],0.15862918598948164,0.15989982961334467,[-0.06  0.37],82.0
Cz_delta_relative_power,0.1821141202217809,0.1059228217193716,[-0.04  0.39],0.14408305770524402,0.20227362777105326,[-0.08  0.35],82.0
Cz_delta_spectral_entropy,0.23467322402519025,0.036144099810464014,[0.02 0.43],0.19334773231989655,0.0857250076811182,[-0.03  0.4 ],82.0
